experiment_id,image_id,transformation,transformation_type,parameters,watermark_detected,watermark_confidence,bit_accuracy,recovered_code,code_correct,false_attribution,embed_psnr,embed_ssim,psnr_after_transform,env_deepshield_version,env_git_commit,env_python,env_platform,env_numpy,env_random_seed,env_device,env_face_detector,env_face_aligner,env_face_embedder,env_deepfake_detector,env_watermark_backend,env_watermark_strength,env_recorded_at
watermark_robustness,angela_bassett_0.png,rotate_10,rotation,{'degrees': 10},True,0.910156,0.5,e5d9a535,True,False,35.8836,0.922139,11.3613,0.1.0,3bcc6070f94e514764d324e397d61505df92186c,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.3,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.28,2026-09-13T10:29:08.931581+00:00
watermark_robustness,angela_bassett_0.png,rotate_10_crop_10,rotate_crop,"{'degrees': 10, 'ratio': 0.1}",True,0.958333,0.484375,e5d9a535,True,False,35.8836,0.922139,10.7762,0.1.0,3bcc6070f94e514764d324e397d61505df92186c,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.3,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.28,2026-09-13T10:29:08.931581+00:00
watermark_robustness,angela_bassett_0.png,rotate_15,rotation,{'degrees': 15},True,0.882812,0.359375,e5d9a535,True,False,35.8836,0.922139,10.1502,0.1.0,3bcc6070f94e514764d324e397d61505df92186c,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.3,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.28,2026-09-13T10:29:08.931581+00:00
watermark_robustness,angela_bassett_0.png,rotate_2,rotation,{'degrees': 2},True,0.988281,0.453125,e5d9a535,True,False,35.8836,0.922139,18.1412,0.1.0,3bcc6070f94e514764d324e397d61505df92186c,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.3,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.28,2026-09-13T10:29:08.931581+00:00
watermark_robustness,angela_bassett_0.png,rotate_20,rotation,{'degrees': 20},False,0.601562,0.453125,,False,False,35.8836,0.922139,9.4872,0.1.0,3bcc6070f94e514764d324e397d61505df92186c,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.3,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.28,2026-09-13T10:29:08.931581+00:00
watermark_robustness,angela_bassett_0.png,rotate_25,rotation,{'degrees': 25},False,0.601562,0.46875,,False,False,35.8836,0.922139,9.0927,0.1.0,3bcc6070f94e514764d324e397d61505df92186c,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.3,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.28,2026-09-13T10:29:08.931581+00:00
watermark_robustness,angela_bassett_0.png,rotate_30,rotation,{'degrees': 30},False,0.609375,0.421875,,False,False,35.8836,0.922139,8.8275,0.1.0,3bcc6070f94e514764d324e397d61505df92186c,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.3,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.28,2026-09-13T10:29:08.931581+00:00
watermark_robustness,angela_bassett_0.png,rotate_5,rotation,{'degrees': 5},True,0.958984,0.46875,e5d9a535,True,False,35.8836,0.922139,13.9942,0.1.0,3bcc6070f94e514764d324e397d61505df92186c,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.3,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.28,2026-09-13T10:29:08.931581+00:00
watermark_robustness,angela_bassett_0.png,rotate_5_crop_10,rotate_crop,"{'degrees': 5, 'ratio': 0.1}",True,0.993056,0.484375,e5d9a535,True,False,35.8836,0.922139,10.8716,0.1.0,3bcc6070f94e514764d324e397d61505df92186c,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.3,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.28,2026-09-13T10:29:08.931581+00:00
watermark_robustness,angela_bassett_0.png,rotate_5_crop_20,rotate_crop,"{'degrees': 5, 'ratio': 0.2}",True,0.987847,0.546875,e5d9a535,True,False,35.8836,0.922139,8.9052,0.1.0,3bcc6070f94e514764d324e397d61505df92186c,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.3,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.28,2026-09-13T10:29:08.931581+00:00
