experiment_id,image_id,transformation,transformation_type,parameters,face_detected,face_similarity,recognition_success,candidate_threshold,psnr,ssim,env_deepshield_version,env_git_commit,env_python,env_platform,env_numpy,env_random_seed,env_device,env_face_detector,env_face_aligner,env_face_embedder,env_deepfake_detector,env_watermark_backend,env_watermark_strength,env_recorded_at
face_recognition_robustness,curie_2.jpg,jpeg_q90,jpeg_compression,{'quality': 90},True,0.990451,True,0.4359,47.7015,0.986697,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,curie_2.jpg,jpeg_q70,jpeg_compression,{'quality': 70},True,0.994953,True,0.4359,45.1307,0.978074,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,curie_2.jpg,jpeg_q50,jpeg_compression,{'quality': 50},True,0.997238,True,0.4359,43.4881,0.970357,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,curie_2.jpg,resize_75,resize,{'scale': 0.75},True,0.998389,True,0.4359,49.6915,0.991963,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,curie_2.jpg,resize_50,resize,{'scale': 0.5},True,0.999093,True,0.4359,46.7247,0.985468,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,curie_2.jpg,resize_25,resize,{'scale': 0.25},True,0.996813,True,0.4359,42.2519,0.971691,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,curie_2.jpg,crop_10,crop,{'ratio': 0.1},True,0.988773,True,0.4359,12.637,0.603706,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,curie_2.jpg,crop_30,crop,{'ratio': 0.3},False,,,0.4359,6.6736,0.354788,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,curie_2.jpg,rotate_5,rotation,{'degrees': 5},True,0.978034,True,0.4359,18.3991,0.687772,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,curie_2.jpg,blur_1,blur,{'sigma': 1.0},True,0.998306,True,0.4359,47.0565,0.991695,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,curie_2.jpg,noise_5,noise,{'sigma': 5.0},True,0.989575,True,0.4359,34.1617,0.877566,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,curie_2.jpg,brightness_up,brightness,{'factor': 1.2},True,0.943581,True,0.4359,24.8107,0.976309,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,curie_2.jpg,contrast_down,contrast,{'factor': 0.8},True,0.988844,True,0.4359,25.9184,0.943145,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,curie_2.jpg,webp_q80,webp,{'quality': 80},True,0.989473,True,0.4359,43.4163,0.971147,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,curie_2.jpg,screenshot,screenshot_simulation,"{'scale': 0.9, 'quality': 85}",True,0.99894,True,0.4359,46.5376,0.983204,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,einstein_1.jpg,jpeg_q90,jpeg_compression,{'quality': 90},True,0.999663,True,0.4359,78.8705,0.999993,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,einstein_1.jpg,jpeg_q70,jpeg_compression,{'quality': 70},True,0.985279,True,0.4359,42.1439,0.966235,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,einstein_1.jpg,jpeg_q50,jpeg_compression,{'quality': 50},True,0.979345,True,0.4359,40.0708,0.947341,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,einstein_1.jpg,resize_75,resize,{'scale': 0.75},True,0.995488,True,0.4359,48.9165,0.992951,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,einstein_1.jpg,resize_50,resize,{'scale': 0.5},True,0.990799,True,0.4359,43.7582,0.976271,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,einstein_1.jpg,resize_25,resize,{'scale': 0.25},True,0.988605,True,0.4359,38.7788,0.930184,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,einstein_1.jpg,crop_10,crop,{'ratio': 0.1},True,0.921684,True,0.4359,11.4115,0.413276,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,einstein_1.jpg,crop_30,crop,{'ratio': 0.3},False,,,0.4359,9.133,0.398103,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,einstein_1.jpg,rotate_5,rotation,{'degrees': 5},True,0.959021,True,0.4359,15.8969,0.447779,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,einstein_1.jpg,blur_1,blur,{'sigma': 1.0},True,0.995544,True,0.4359,42.7374,0.976377,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,einstein_1.jpg,noise_5,noise,{'sigma': 5.0},True,0.98284,True,0.4359,34.1085,0.909811,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,einstein_1.jpg,brightness_up,brightness,{'factor': 1.2},True,0.974707,True,0.4359,21.0987,0.968112,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,einstein_1.jpg,contrast_down,contrast,{'factor': 0.8},True,0.950654,True,0.4359,25.7071,0.953115,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,einstein_1.jpg,webp_q80,webp,{'quality': 80},True,0.986193,True,0.4359,40.6972,0.957768,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,einstein_1.jpg,screenshot,screenshot_simulation,"{'scale': 0.9, 'quality': 85}",True,0.986641,True,0.4359,46.5018,0.988096,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,einstein_2.jpg,jpeg_q90,jpeg_compression,{'quality': 90},True,0.990125,True,0.4359,46.2021,0.989061,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,einstein_2.jpg,jpeg_q70,jpeg_compression,{'quality': 70},True,0.972802,True,0.4359,42.4103,0.973531,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,einstein_2.jpg,jpeg_q50,jpeg_compression,{'quality': 50},True,0.972872,True,0.4359,39.1506,0.939968,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,einstein_2.jpg,resize_75,resize,{'scale': 0.75},True,0.997218,True,0.4359,48.5708,0.991552,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,einstein_2.jpg,resize_50,resize,{'scale': 0.5},True,0.996615,True,0.4359,43.231,0.968973,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,einstein_2.jpg,resize_25,resize,{'scale': 0.25},True,0.973022,True,0.4359,37.536,0.881515,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
face_recognition_robustness,einstein_2.jpg,crop_10,crop,{'ratio': 0.1},True,0.951811,True,0.4359,14.9157,0.553263,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,opencv_sface,spectral,dct,0.12,2026-09-02T02:28:09.775642+00:00
