variant,degradation,aggregation,roc_auc,eer,genuine_comparisons,impostor_comparisons,identities,photos,detection_failures,probe_detection_failures,seconds_per_image,p99_threshold,p99_precision,p99_recall,p99_false_positives,eer_threshold,eer_precision,eer_recall,eer_false_positives,env_deepshield_version,env_git_commit,env_python,env_platform,env_numpy,env_random_seed,env_device,env_face_detector,env_face_aligner,env_face_embedder,env_deepfake_detector,env_watermark_backend,env_watermark_strength,env_recorded_at
opencv_yunet/insightface+tta,clean,max,1.0,0.0,170,4930,30,170,0,0,0.0377,0.566315,1.0,1.0,0,0.566315,1.0,1.0,0,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.12,2026-09-02T03:34:25.672762+00:00
opencv_yunet/insightface+tta,crop_20,max,1.0,0.0,170,4930,30,170,0,0,0.0377,0.287216,0.994152,1.0,1,0.544339,1.0,1.0,0,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.12,2026-09-02T03:34:25.672762+00:00
opencv_yunet/insightface+tta,blur_3,max,1.0,0.0,170,4930,30,170,0,0,0.0377,0.332284,0.994152,1.0,1,0.439688,1.0,1.0,0,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.12,2026-09-02T03:34:25.672762+00:00
opencv_yunet/insightface+tta,screenshot,max,1.0,0.0,170,4930,30,170,0,0,0.0377,0.282149,0.994152,1.0,1,0.565801,1.0,1.0,0,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.12,2026-09-02T03:34:25.672762+00:00
insightface/insightface+tta,clean,max,1.0,0.0,169,4901,30,169,1,1,0.0698,0.570622,1.0,1.0,0,0.570622,1.0,1.0,0,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.12,2026-09-02T03:34:25.672762+00:00
insightface/insightface+tta,crop_20,max,0.915709,0.293103,3,87,30,169,1,167,0.0698,0.748676,1.0,0.666667,0,0.075528,0.083333,0.666667,22,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.12,2026-09-02T03:34:25.672762+00:00
insightface/insightface+tta,blur_3,max,1.0,0.0,169,4901,30,169,1,1,0.0698,0.350611,0.994118,1.0,1,0.436379,1.0,1.0,0,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.12,2026-09-02T03:34:25.672762+00:00
insightface/insightface+tta,screenshot,max,1.0,0.0,169,4901,30,169,1,1,0.0698,0.295808,0.994118,1.0,1,0.566828,1.0,1.0,0,0.1.0,not-a-git-repository,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.2,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.12,2026-09-02T03:34:25.672762+00:00
