variant,degradation,aggregation,roc_auc,eer,genuine_comparisons,impostor_comparisons,identities,photos,detection_failures,probe_detection_failures,seconds_per_image,genuine_high_confidence,genuine_review,genuine_below_candidate,p99_threshold,p99_precision,p99_recall,p99_false_positives,eer_threshold,eer_precision,eer_recall,eer_false_positives,env_deepshield_version,env_git_commit,env_python,env_platform,env_numpy,env_random_seed,env_device,env_face_detector,env_face_aligner,env_face_embedder,env_deepfake_detector,env_watermark_backend,env_watermark_strength,env_recorded_at
opencv_yunet/insightface+tta,clean,max,1.0,0.0,170,4930,30,170,0,0,0.0374,170,0,0,0.566315,1.0,1.0,0,0.566315,1.0,1.0,0,0.1.0,6a11691d36df8a0c08e7cf309512f2a63f5a8942,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.3,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.16,2026-09-24T17:49:18.890144+00:00
opencv_yunet/insightface+tta,video_small,max,0.99989,0.005882,170,4930,30,170,0,0,0.0374,75,32,63,0.269281,0.993548,0.905882,1,0.188422,0.853535,0.994118,29,0.1.0,6a11691d36df8a0c08e7cf309512f2a63f5a8942,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.3,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.16,2026-09-24T17:49:18.890144+00:00
