variant,degradation,aggregation,roc_auc,eer,genuine_comparisons,impostor_comparisons,identities,photos,detection_failures,probe_detection_failures,seconds_per_image,p99_threshold,p99_precision,p99_recall,p99_false_positives,eer_threshold,eer_precision,eer_recall,eer_false_positives,env_deepshield_version,env_git_commit,env_python,env_platform,env_numpy,env_random_seed,env_device,env_face_detector,env_face_aligner,env_face_embedder,env_deepfake_detector,env_watermark_backend,env_watermark_strength,env_recorded_at
opencv_yunet/insightface+tta,clean,max,1.0,0.0,170,4930,30,170,0,0,0.0397,0.566315,1.0,1.0,0,0.566315,1.0,1.0,0,0.1.0,4568b1ce67b473439eb94139a84c8bc7996f69be,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.3,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.16,2026-09-08T11:39:37.234571+00:00
opencv_yunet/insightface+tta,downscale_25,max,1.0,0.0,170,4930,30,170,0,0,0.0397,0.291135,0.994152,1.0,1,0.512978,1.0,1.0,0,0.1.0,4568b1ce67b473439eb94139a84c8bc7996f69be,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.3,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.16,2026-09-08T11:39:37.234571+00:00
opencv_yunet/insightface+tta,crop_20,max,1.0,0.0,170,4930,30,170,0,0,0.0397,0.287216,0.994152,1.0,1,0.544339,1.0,1.0,0,0.1.0,4568b1ce67b473439eb94139a84c8bc7996f69be,3.12.10,macOS-26.6.2-arm64-arm-64bit,2.5.3,42,cpu,opencv_yunet,landmark,insightface,spectral,dct,0.16,2026-09-08T11:39:37.234571+00:00
